,Twitter Query: pelucas OR oncológicas OR cáncer OR donar OR donación #oncoayuda OR #donacabello OR #pelucasoncologicas OR #DiaMundialdelCancerdeMama OR #19deoctubre OR #bancodetapitas OR #cabezaenalto OR #octubrerosa -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
21/10/2020 14:26,@CecytemJocot,CECyTEM Jocotitlán,#OctubreRosa. El cáncer de mama se puede prevenir al detectarlo a tiempo @SaludEdomex te brindan información en: . #ÉchaleUnaManoATuSalud #PrevenirEsSalud,1319027301938393088,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4gV1MUwAAhQXe.jpg,,0,0,Twitter for Android,452,132,2,,31/5/2015,"Jocotitlán, México",,http://facebook.com/CecytemPlantelJocotitlan,,View
21/10/2020 14:15,@CecytemChicolpn,CECyTEM Chicoloapan,#ÉchaleUnaManoATuSalud #OctubreRosa El cáncer de mama se puede detectar oportunamente #PrevenirEsSalud. Infórmate en:  o llama a los números 722 212 64 26 55 58 78 64 02 55 82 84 12 61 @Edomex @SaludEdomex,1319024547274891267,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4cl8gW0AEcJL9.jpg,,0,0,Twitter Web App,643,393,4,,26/5/2015,Chicoloapan de Juárez,,http://facebook.com/CecytemPlantelChicoloapan,,View
21/10/2020 14:14,@CecytemJilotep,CECyTEM Jilotepec,"Acude a tu médico o realiza la autoexploración, el cáncer de mama se puede detectar oportunamente. #OctubreRosa #PrevenirEsSalud @alfredodelmazo",1319024334313295888,,https://pbs.twimg.com/media/Ek4dnbMWMAAVbcq.jpg,,0,0,Twitter for Android,388,165,2,,10/7/2015,,,,,View
21/10/2020 14:10,@CESPDEM,@CESPDEM,"#ÉchaleUnaManoATuSalud El cáncer de mama se puede detectar oportunamente, mastografías y ultrasonidos a partir de los 40 años. #PrevenirEsSalud #OctubreRosa @SaludEdomex @Edomex",1319023151624474624,,https://pbs.twimg.com/media/EjwZFE9X0AABvaS.jpg,,0,2,Twitter Media Studio,5520,208,6,,20/8/2015,,Coordinación Estatal del Servicio Profesional Docente del Estado de México.,http://cespd.edomex.gob.mx,,View
21/10/2020 14:08,@MileSalvini,Mi💚,"Algunas se cortan y donan su pelo, otras se lo tiñen. Algunas llevan un simple lazo rosa. Lo importante es poder representar la Lucha contra el cancer de mama. #OctubreRosa",1319022765068922880,,,,0,1,Twitter for iPhone,2539,850,0,,26/4/2013,"Santa Fe , Argentina",kinesiología y fisiatria 📚 ig:milesalvini81,,,View
21/10/2020 14:06,@MACFUT,MACFUT,LA MEJOR MANERA DE LUCHAR CONTRA EL CANCER DE MAMAS ES PROMOVER LA DETECCION TEMPRANA 💟 #LALCEC #PrevenirEsAmar #Mamografías #Chequeo #Estudio #Salud #octubrerosa🎀 #JuntosContraElCáncerDeMama,1319022308711976963,,https://pbs.twimg.com/media/Ek4bx-9WMAAhB2e.png,,1,1,Twitter Web App,1799,155,10,,25/4/2011,Argentina,Asociacion Civil Mujeres Asociadas a Clubes de Fútbol Argentino,,,View
21/10/2020 14:00,@LaNacionPy,Diario La Nación,"#OctubreRosa | Es importante el constante autocontrol ✋🏽 en la zona mamaria para detectar cualquier irregularidad a tiempo. Ante cualquier molestia, consultá al centro de salud más cercano 🏥 ¡El cáncer de mama se diagnostica si se detecta a tiempo!",1319020636761706497,,pic.twitter.com/eJFIzNEm6z,,1,2,TweetDeck,324106,436,781,✅,13/7/2010,Paraguay,"Información, análisis y opinión hace 25 años. Facebook: http://facebook.com/lanacionpy Instagram: @lanacionpy YouTube: http://youtube.com/LaNacionParaguayGNC",http://www.lanacion.com.py,,View
21/10/2020 13:55,@juliacuellar82,Julia Cuellar,"Seguimos recibiendo sus ilustraciones. Nos censura Facebook así que por favor ayuden a compartir esta convocatoria, apoyen en la sensibilización del cáncer de mama. #CancerAwarenessMonth #pinktober #PinkOctober #OctubreRosa #inktober2020",1319019397382623238,,https://pbs.twimg.com/media/Ek4ZJArX0AETD2i.jpg,,2,2,Twitter for Android,1525,2298,30,,24/7/2009,,"Comunicóloga. Libros: Amor en presente, historias contadas en twitter. Crear en apuros, manual de escritura creativa. Co-creadora de Bitácora52 y BazarFular",http://juliacuellar.net,,View
21/10/2020 13:45,@maac_ac,"Mexicana de Acreditación, MAAC, A.C.","#OctubreRosa, es reconocido mundialmente para crear conciencia sobre el cáncer de mama y así promover la autoexploración, revisiones periódicas y chequeos para poder detectarlo a tiempo. 🎗️🌎",1319017041064382464,,pic.twitter.com/w2t4k4j4M0,,1,1,Twitter Web App,84,6,0,,27/4/2020,Ciudad de México,Asociación Civil autorizada para operar como entidad de acreditación de Organismos de Certificación de Sistemas de Gestión. 📧 contacto@maac-ac.com.mx,https://maac-ac.com.mx/,,View
