,Twitter Query: pelucas OR oncológicas OR cáncer OR donar OR donación #oncoayuda OR #donacabello OR #pelucasoncologicas OR #DiaMundialdelCancerdeMama OR #19deoctubre OR #bancodetapitas OR #cabezaenalto OR #octubrerosa -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
21/10/2020 20:47,@CPC_SMA,Dirección Concertación y Participación Ciudadana,Mes de sensibilización sobre el cáncer de mama #OctubreRosa. Recuerda realizarte una autoexploración periódicamente #ÉchaleUnaManoATuSalud. Consulta cómo debes realizarla en:,1319123108247330816,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek53edRX0AA_SC7.jpg,,0,0,Twitter for Android,1272,536,24,,28/8/2012,"Metepec, Estado de México",Dirección Concertación y Participación Ciudadana de la Secretaría del Medio Ambiente del Gobierno del Estado de México. Conjunto SEDAGRO Tel. (01722) 2.75.89.91,http://www.edomex.gob.mx/medioambiente,,View
21/10/2020 20:30,@reberramz,🎃🕷 Spooky michi tliste 🎃🕷,"Hola, así se ven los senos con anormalidades que pueden ser cáncer de mama. BASTA DE DIBUJITOS BONITOS, los senos de las mujeres no son órganos sexuales, basta de sexualizarlos. Conocer estas imagenes REALES puede salvar la vida de una mujer. #OctubreRosa #CancerDeMama RT @semdecajeme: Lo que puede ser normal en usted tal vez no lo sea en otra mujer. La mayoría de las mujeres dicen que sienten bultos o superficies irregulares en las mamas. que la alarme no dude en consultar a su médico lo antes posible, el la orientará para evaluar lo que sucede y cómo actuar.",1319118959325622273,https://twitter.com/semdecajeme/status/1318644477423161344,https://pbs.twimg.com/media/EkzEKRxW0AItbII.jpg,,0,2,Twitter for Android,211,294,0,,2/8/2016,,,,,View
21/10/2020 20:08,@FaustoBejarano1,Le Titte,"#NuevaFotoDePerfil #OctubreRosa #SlowFashion  El 99% de las mujeres padece el cáncer de mamas, que no te toque!",1319113300093829120,https://instagram.com/mirze_py?igshid=1aj64fkq662bu,https://pbs.twimg.com/media/Ek5ujiOXUAEgzZt.jpg,,0,0,Twitter for Android,236,404,0,,9/4/2017,"Asuncion, Paraguay",Motociclista de clásicos ● Melómano http://instagram.com/faustobejarano,http://vsco.co/faustobejarano,,View
21/10/2020 20:01,@OnmpriNacional,ONMPRI NACIONAL,"En la segunda conferencia sobre el cáncer de mama 🎀, la Dra. Mónica Cuadras dijo que la exploración mamaria debe comenzar desde la primera regla y a partir de ahí debe convertirse en un hábito de toda la vida. #OctubreRosa",1319111591586009088,,https://pbs.twimg.com/media/Ek5s_wSUUAEcMXl.jpg,,2,5,Twitter for Android,25433,10851,76,,14/4/2011,Ciudad de México,Cuenta Oficial del Organismo Nacional de Mujeres Priistas. #JuntasPorMéxico. Presidenta Nacional ONMPRI @Monsearcosv,,,View
21/10/2020 19:56,@glocuraz,Glors 🎀,"Gracias @canalcatorcemx por darnos el espacio para hacer conciencia y recordar que el Cancer de Mama es una enfermedad que es curable si se detecta a tiempo, Tócate 🖐🏼 para que no te toque #OctubreRosa #InspiremosVidas #PorTiPorMiPorTodas #FuckCancer 🌷🙏🏼 RT @canalcatorcemx: Acompáñanos a conocer más sobre la primera causa de muerte por tumores cancerígenos en mujeres a través de cinco testimonios de sobrevivencia. #Reportaje14: Lucha rosa. Cáncer de mama HOY, ⏰21:00h. /📺14.1 /📲 @MxPlayTV / ▶️  #Canal14 #TusCausasTuCanal",1319110387548233728,"https://twitter.com/canalcatorcemx/status/1319081035749941248
https://youtu.be/KlXLRnsrhhI",pic.twitter.com/pjrXjlax2m,,0,1,Twitter for iPhone,571,1130,0,,6/10/2010,Donde la vida no vale nada,💟 Resiliente 🌷 Luchando contra el Cancer 🧘🏻‍♀️ Amo el yoga 🐶 Amo a Misha 🤓 No soy la pinche media naranja de nadie 🤭,,,View
21/10/2020 19:45,@COESPO_Edomex,COESPO Edomex,"#OctubreRosa | La detección temprana del cáncer de mamas la acción más importante en la lucha contra esta enfermedad. #ÉchaleUnaManoATuSalud e infórmate en:  o llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61",1319107456988073985,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/EkzIt3EWAAA1UDg.jpg,,0,0,TweetDeck,1807,308,8,✅,7/1/2016,Estado de México,Consejo Estatal de Población del Estado de México. | @SGGedomex,http://coespo.edomex.gob.mx/,,View
21/10/2020 18:58,@ALMAZANFRANCISC,ALMAZAN FRANCISCO,"#PrevenirEsSalud El cáncer de mama se puede detectar oportunamente, realizate revisiones periódicas y acude al médico #ÉchaleUnaManoATuSalud #OctubreRosa @Edomex @SaludEdomex",1319095651276210176,,https://pbs.twimg.com/media/Ek5efFeVgAA4pMi.jpg,,0,0,Twitter for Android,445,47,1,,3/11/2009,Estado de México,Subdirector Regional de Educación Básica Texcoco,,,View
21/10/2020 18:42,@Jovenes_Con_Vos,Jóvenes Con Vos,Colaboramos nuevamente con la @MuniRioPrimero junto a Jóvenes Primero en la concientización de la prevención del cáncer de mama. #OctubreRosa #CordobaRosa @CraveroCristina @gobdecordoba @claumartinezar @mindelamujercba,1319091614262960128,,https://pbs.twimg.com/media/Ek5a0pKXYAEhD00.jpg,,3,4,Twitter for Android,58,25,0,,24/9/2020,"Río Primero, Argentina ",,,,View
21/10/2020 18:38,@AlertaChiapas,Alerta Chiapas,🎀 #SALUD || Tenía 33 años cuando en una revisión de rutina a María de Jesús Pérez Zavaleta le detectaron cáncer de mama. #OctubreRosa #CáncerDeMama #19DeOctubre #Chiapas #Tuxtla,1319090717654908928,https://alertachiapas.com/2020/10/21/sobrevivio-al-cancer-ahora-ayuda-a-las-que-lo-padecen/,,,6,9,WordPress.com,142437,541,211,✅,17/8/2013,"Chiapas, México","http://t.me/alertachiapas Noticias 📰 Multiplataforma, App: 📲 http://m.alertachiapas.com/download: 📲 📤Editor: @Gusmx2",http://t.me/alertachiapas,,View
21/10/2020 18:35,@VPITV,VPItv,"El cáncer de mama no distingue de género, raza o posición económica. ¡Revísate con frecuencia! #OctubreRosa",1319089850679701506,,https://pbs.twimg.com/media/Ek5ZOqcWAAAorvu.jpg,,11,13,Hootsuite Inc.,537519,565,1168,✅,18/12/2015,Venezuela,Canal de Noticias EN VIVO 🔴 I Mira nuestra señal aquí: I https://bit.ly/2FXPNmo I Youtube I ROKU | Apple TV | APP | Web |,http://www.vpitv.com,,View
21/10/2020 18:28,@Dra_Guaripete,#LibertadParaLosPresosPolíticos,Imagínate tener que hospitalizar a tu hijo con cáncer (o a tu mamá o a tu esposo o a tu hermana) y ni siquiera poder asearle porque no hay AGUA en el hospital #OctubreRosa RT @Beadrian: #Urgente Madres con sus hijos hospitalizados en el oncologico Luis Razetti #Caracas claman AGUA. Piden por caridad una cisterna con manguera larga para que llenen los tobos de pediatría. Niños en estado delicado,1319088197918490626,https://twitter.com/Beadrian/status/1319066853327732741,pic.twitter.com/5iraIJqgTJ,,10,3,Twitter Web App,6920,1527,107,,31/10/2009,528491,#MédicoOncólogoUCV #ESMOMember #CeseDeUsurpación #GobiernoDeTransición #EleccionesLibres #TchaikovskyLieber #ARevelationInTheLightOfDay #InceptionConsultant,http://saraceci.wordpress.com,,View
21/10/2020 18:27,@MujerMexico_Of,Mujer México,#OctubreRosa🎀 El #CáncerDeMama es la primera causa de muerte entre mexicanas 🙋🏻‍♀️🇲🇽😔🏥 ¿Qué otros mitos conoces? ☹️,1319088014753222658,https://mujermexico.com/salud/estos-son-los-mitos-sobre-el-cancer-de-mama/,,,1,0,Twitter for iPhone,604,409,3,,19/9/2019,México,Somos una plataforma en pos de la equidad de género. Para un México fuerte y poderoso necesitamos que sus mujeres lo sean: que todas sean #MujerMéxico,http://www.mujermexico.com,,View
21/10/2020 18:25,@SSDM_Edomex,Desarrollo Municipal #Edomex,Octubre es el mes de sensibilización sobre el cáncer de mama. Recuerda realizarte una autoexploración periódicamente #ÉchaleUnaManoATuSalud. Consulta cómo debes realizarla en:  #OctubreRosa,1319087397309698048,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek5W_xZXYAACzEP.jpg,,1,3,Twitter for Android,3416,359,11,✅,9/11/2017,"Toluca, México",Cuenta oficial de la Subsecretaría de Desarrollo Municipal del @Edomex | Promovemos el desarrollo institucional de los ayuntamientos.,http://ssdm.edomex.gob.mx,,View
21/10/2020 18:17,@Radio_Romantica,Radio Romántica,#Mujer #OctubreRosa ¿Qué signos pueden delatar un cáncer de mama? ¿Cómo te puedes realizar el autoexamen? Te lo contamos acá,1319085311243280384,http://bit.ly/3o0zKpz,,,1,1,TweetDeck,33130,182,123,,11/11/2009,"Ñuñoa, Chile",#TuDíaConMásPasión ❤️ 104.1 en Santiago 🎙️,http://www.romantica.cl,,View
21/10/2020 18:12,@npyoficial,NPY Oficial,"Lic. Bettina Cuevas: ""@amacmapy surge con mujeres con la misma patología, con la misma necesidad de hablar con el otro. En esa época nadie hablaba del cáncer de mama. Somos una comunidad de contención gratuita"". #OctubreRosa #Bocasdeltiempo #NPY",1319084259085324290,,pic.twitter.com/6EqF9uFPE7,,2,3,TweetDeck,160325,214,278,,24/6/2010,"Asunción, Paraguay","Canal 2 de AIRE, 6 y 606 HD de Tigo, 24 de Claro y 45 de Personal. Online http://npy.com.py Whatsapp de denuncias: (0981) 169 744",https://npy.com.py,,View
